Name,Subject,PS,Year,WS,URL,,,,
A191,BA,Capital University of Economics and Business,2019,Henan Normal University,https://www.htu.edu.cn/sxy/2014/1110/c14444a16868/page.htm,,,,
A192,BA,Capital University of Economics and Business,2004,Beijing University of Technology,https://www.bjut.edu.cn/jjyglxy/info/1118/1114.htm,,,,
A193,BA,Capital University of Economics and Business,2019,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/2922.htm,,,,
A194,BA,Capital University of Economics and Business,2013,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/2921.htm,,,,
A195,BA,Capital University of Economics and Business,2011,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/2613.htm,,,,
A196,BA,Capital University of Economics and Business,2012,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/1990.htm,,,,
A197,BA,Capital University of Economics and Business,2013,Beijing International Studies University,http://guoshang.bisu.edu.cn/art/2013/10/12/art_11685_16042.html,,,,
A198,MS&E,Central China Normal University,2013,University of International Business and Economics,http://schpa.uibe.edu.cn/szdw/xxjs/xzglx/22366.htm,,,,
A199,MS&E,Central China Normal University,,University of International Business and Economics,http://schpa.uibe.edu.cn/szdw/xxjs/ggjjx/22369.htm,,,,
A200,MS&E,Central China Normal University,2004,Central China Normal University,http://econ.ccnu.edu.cn/info/1011/7087.htm,,,,
A201,MS&E,Central China Normal University,2010,Hebei University of Technology,https://sem.hebut.edu.cn/zrjs/g/84374.htm,,,,
A202,MS&E,Central China Normal University,2014,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/xxglyxxxtx/119763.htm,,,,
A203,MS&E,Central China Normal University,2004,Hunan University,http://grjl.hnu.edu.cn/p/3C4A890CBE63DC1D0FBE857DFB8788DF,,,,
A204,BA,Central China Normal University,2012,Henan University of Technology,https://glxy.haut.edu.cn/info/1095/2477.htm,,,,
A205,BA,Central China Normal University,2010,Hebei University of Technology,https://sem.hebut.edu.cn/zrjs/g/84374.htm,,,,
A206,BA,Central China Normal University,2016,Central China Normal University,http://econ.ccnu.edu.cn/info/1012/9129.htm,,,,
A207,BA,Central China Normal University,2012,Central China Normal University,http://econ.ccnu.edu.cn/info/1012/6933.htm,,,,
A208,BA,Central China Normal University,2011,Central China Normal University,http://econ.ccnu.edu.cn/info/1013/8108.htm,,,,
A209,BA,Central China Normal University,2014,Huaqiao University,https://ggxy.hqu.edu.cn/info/1149/6973.htm,,,,
A210,MS&E,Central South University,,Central South University,,,,,
A211,MS&E,Central South University,2008,Central South University,,,,,
